,Unnamed: 0,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0,World,20302,20372,20382,20452,20601,21040,21523,21742,21870,22017,22672,22941,23448,24571,25594,26497,27345,28278,28474,28145,29677,30465,31004,31436,31593,31452,31465
1,1,Annex I countries,13870,13698,13465,13254,13047,13098,13351,13314,13364,13415,13666,13629,13682,13949,13994,14043,14021,14131,13845,12956,13412,13281,13264,13179,12941,12729,12649
2,2,OECD,11061,11058,11144,11243,11442,11555,11946,12072,12139,12233,12543,12505,12590,12808,12896,12962,12911,13086,12783,12066,12469,12277,12265,12246,12081,11958,11870
3,3,G7,8524,8476,8553,8630,8743,8791,9029,9120,9213,9264,9483,9418,9454,9576,9620,9635,9517,9622,9363,8737,9034,8835,8826,8890,8797,8628,8534
4,4,BRICS,5548,5629,5587,5604,5555,5822,5876,5882,5933,5943,6179,6353,6649,7362,8091,8735,9450,10037,10322,10734,11580,12429,12791,13166,13357,13258,13318
5,5,Europe,4347,4309,4191,4105,4077,4145,4298,4215,4219,4147,4205,4267,4251,4357,4366,4354,4398,4366,4284,3991,4124,3994,3969,3862,3696,3760,3770
6,6,European Union,4047,4025,3910,3827,3812,3860,3990,3890,3885,3826,3856,3930,3905,3991,3989,3974,3988,3936,3851,3569,3682,3531,3498,3407,3230,3274,3254
7,7,Belgium,101,105,105,104,109,110,115,112,114,111,111,111,106,111,109,107,106,102,104,98,106,96,94,95,89,93,92
8,8,Czech Rep.,146,135,130,129,122,122,124,125,120,110,122,122,118,121,122,120,120,121,114,107,109,106,102,98,95,95,96
9,9,France,347,374,363,346,339,349,364,353,380,373,374,383,373,379,379,377,365,358,356,338,348,320,322,326,292,299,306
10,10,Germany,957,925,889,881,862,860,888,860,852,820,821,839,825,827,809,790,803,775,779,727,766,739,754,766,734,737,744
11,11,Italy,386,393,393,385,380,402,399,403,412,420,424,422,429,443,454,454,451,444,431,388,394,383,365,337,320,331,332
12,12,Netherlands,157,165,163,166,168,182,192,187,189,183,185,191,190,193,196,192,189,189,187,182,194,181,179,178,170,173,174
13,13,Poland,358,355,349,344,336,335,359,339,312,304,294,292,286,293,296,303,313,311,309,297,316,311,305,301,287,288,292
14,14,Portugal,38,41,45,44,45,49,47,49,54,60,60,59,63,59,60,63,58,56,55,54,49,48,47,45,44,49,49
15,15,Romania,162,134,124,117,113,119,121,111,96,83,86,91,94,96,92,90,95,92,90,77,74,81,79,69,68,70,69
16,16,Spain,208,214,225,208,220,232,228,243,251,272,288,289,305,310,325,339,332,345,316,281,268,270,266,239,238,256,250
17,17,Sweden,48,46,42,44,49,48,52,47,47,45,42,45,53,55,54,51,52,49,47,43,48,43,42,40,40,39,42
18,18,United Kingdom,558,568,559,544,550,535,552,529,528,530,539,547,529,537,538,539,539,528,517,469,488,449,471,459,417,404,380
19,19,Norway,29,27,30,32,33,33,34,35,37,38,34,35,34,37,37,36,38,38,37,38,40,38,37,37,37,38,38
20,20,Turkey,129,126,131,135,137,150,164,173,177,176,199,179,187,197,203,211,235,259,258,253,267,286,302,285,307,318,342
21,21,CIS,3639,3533,3216,2901,2529,2435,2311,2182,2166,2177,2182,2173,2179,2276,2264,2281,2358,2344,2424,2235,2366,2504,2541,2486,2368,2277,2287
22,22,Kazakhstan,238,240,246,210,191,168,146,124,126,111,122,115,127,146,153,162,188,196,232,207,228,243,244,261,239,229,228
23,23,Russia,2340,2274,2104,1911,1666,1621,1588,1498,1485,1512,1514,1520,1503,1552,1538,1541,1592,1565,1606,1514,1600,1690,1720,1673,1608,1557,1560
24,24,Ukraine,618,600,518,462,385,386,325,308,291,288,281,275,280,303,293,302,296,296,290,245,263,277,271,260,221,180,189
25,25,Uzbekistan,116,120,112,117,113,102,105,106,120,122,122,123,128,124,122,113,115,115,117,105,102,112,114,101,103,106,103
26,26,America,6184,6136,6276,6422,6569,6597,6813,7019,7155,7220,7432,7338,7378,7489,7599,7696,7647,7781,7681,7262,7536,7425,7425,7514,7617,7450,7311
27,27,North America,5301,5231,5343,5475,5557,5572,5741,5890,5976,6025,6215,6127,6159,6242,6298,6334,6242,6351,6185,5781,5967,5819,5751,5821,5897,5752,5675
28,28,Canada,428,419,431,431,448,457,473,490,495,506,527,519,521,543,537,556,547,568,567,538,546,557,563,574,584,570,564
29,29,United States,4873,4811,4913,5044,5109,5116,5268,5400,5481,5518,5688,5608,5638,5699,5762,5778,5695,5783,5618,5243,5421,5261,5188,5247,5314,5182,5112
30,30,Latin America,883,906,932,947,1012,1025,1073,1129,1179,1196,1217,1211,1219,1247,1300,1362,1405,1431,1495,1482,1568,1606,1673,1692,1720,1698,1636
31,31,Argentina,104,108,114,111,118,121,127,131,134,137,141,130,125,135,149,152,162,168,179,173,183,186,191,189,198,201,205
32,32,Brazil,191,197,202,211,219,235,254,269,278,287,293,299,299,294,309,315,319,329,347,327,369,391,419,451,475,450,420
33,33,Chile,30,29,30,32,35,38,44,51,52,56,53,50,52,52,57,58,62,67,70,68,73,80,81,85,81,84,88
34,34,Colombia,48,49,51,54,52,54,54,59,61,53,55,55,53,54,53,56,58,60,61,65,66,66,66,71,73,74,65
35,35,Mexico,279,295,298,307,329,312,315,331,355,362,370,363,372,393,399,428,435,440,442,446,441,460,471,462,451,446,435
36,36,Venezuela,97,97,103,101,120,113,116,116,121,118,119,127,126,125,131,141,146,132,160,157,178,157,174,161,159,155,154
37,37,Asia,4642,4865,5071,5346,5666,6043,6210,6360,6330,6447,6766,6984,7375,8118,8900,9568,10251,10975,11114,11640,12538,13374,13752,14201,14436,14431,14548
38,38,China,2201,2310,2410,2577,2720,2934,2957,2994,3026,2951,3131,3275,3545,4171,4816,5399,5994,6485,6587,6972,7594,8271,8450,8776,8826,8791,8796
39,39,India,513,552,582,613,653,712,746,778,794,860,898,907,940,962,1016,1067,1134,1226,1318,1484,1574,1651,1768,1815,1980,2011,2088
40,40,Indonesia,151,163,172,185,201,220,236,256,258,280,281,298,305,331,339,344,359,379,369,387,410,409,417,430,466,450,470
41,41,Japan,974,986,1005,999,1055,1073,1085,1084,1064,1096,1110,1101,1140,1147,1142,1141,1117,1167,1094,1034,1071,1126,1162,1181,1136,1105,1096
42,42,Malaysia,57,67,75,75,81,86,97,113,102,113,123,130,137,149,161,175,175,196,201,187,204,208,212,233,243,243,260
43,43,South Korea,225,241,257,281,312,342,378,392,337,369,414,430,438,447,453,454,464,489,501,511,561,587,593,594,581,580,588
44,44,Taiwan,110,120,127,137,144,153,162,174,186,196,215,222,232,242,255,261,267,273,259,249,266,263,258,257,260,259,264
45,45,Thailand,81,90,98,111,126,142,159,163,151,158,157,165,179,190,206,212,212,220,225,219,235,235,252,268,262,266,272
46,46,Pacific,290,291,298,302,304,312,329,344,359,366,371,376,390,393,403,413,421,431,431,435,429,427,431,423,418,422,391
47,47,Australia,260,262,266,270,272,279,296,308,326,332,337,339,353,354,364,374,382,393,392,398,392,391,393,385,378,383,358
48,48,New Zealand,26,27,29,28,29,29,29,31,29,29,30,32,32,33,32,33,33,32,33,30,30,30,32,31,32,32,33
49,49,Africa,601,604,611,613,614,651,674,701,720,720,730,766,796,826,885,921,935,971,1030,1017,1052,1049,1103,1121,1154,1150,1179
50,50,Algeria,57,60,62,61,60,61,59,61,64,69,70,72,77,80,82,88,89,93,96,104,106,111,121,124,133,139,142
51,51,Egypt,82,81,83,85,81,86,92,96,104,103,98,109,111,115,129,148,156,167,175,181,180,187,194,180,178,179,188
52,52,Nigeria,31,36,43,39,33,36,40,43,38,41,44,51,52,56,57,61,54,50,55,46,57,63,65,65,63,64,63
53,53,South Africa,303,297,290,291,297,320,330,343,351,334,342,352,363,382,411,413,412,433,465,437,442,425,435,452,468,449,454
54,54,Middle-East,598,633,718,765,842,856,886,922,921,941,985,1036,1077,1111,1177,1263,1335,1408,1511,1564,1633,1692,1784,1828,1905,1962,1979
55,55,Iran,190,210,226,228,257,264,271,286,289,309,324,336,351,367,392,431,462,494,512,517,514,532,534,561,589,601,610
56,56,Kuwait,24,7,22,31,37,37,36,37,44,47,50,54,56,57,61,70,70,72,77,84,83,83,95,91,88,95,96
57,57,Saudi Arabia,152,174,203,206,221,222,236,222,236,242,251,255,273,284,302,319,337,354,386,402,443,459,490,497,533,558,555
58,58,United Arab Emirates,53,60,57,60,66,70,73,77,79,82,81,94,95,100,106,112,116,125,147,148,152,160,171,174,176,189,195
